2023/03/12,species,sex,time_of_day,feeding,flying,resting,preening,calling,chasing,proportion_protea
TR1,OS,M,MORNING,2,1,0,0,1,0,>50%
TR1,OS,F,MORNING,0,0,0,0,1,0,>50%
TR1,MS,M,MORNING,0,0,0,0,0,0,>50%
TR1,MS,F,MORNING,0,0,0,0,0,0,>50%
TR2,OS,M,MORNING,0,0,0,0,0,0,<25%
TR2,OS,F,MORNING,0,2,0,0,0,0,<25%
TR2,MS,M,MORNING,0,0,0,0,0,0,<25%
TR2,MS,F,MORNING,0,0,0,0,0,0,<25%
TR3,OS,M,MORNING,0,0,0,0,0,0,<25%
TR3,OS,F,MORNING,0,0,0,0,0,0,<25%
TR3,MS,M,MORNING,0,0,0,0,0,0,<25%
TR3,MS,F,MORNING,0,0,0,0,0,0,<25%
TR4,OS,M,MORNING,1,0,0,0,1,0,>50%
TR4,OS,F,MORNING,3,1,0,0,1,0,>50%
TR4,MS,M,MORNING,0,0,0,0,0,0,>50%
TR4,MS,F,MORNING,0,0,0,0,0,0,>50%
TR5,OS,M,MORNING,0,0,0,0,1,0,<25%
TR5,OS,F,MORNING,0,0,0,0,1,0,<25%
TR5,MS,M,MORNING,0,0,0,0,0,0,<25%
TR5,MS,F,MORNING,0,0,0,0,0,0,<25%
TR6,OS,M,MORNING,1,0,0,0,1,0,<50%
TR6,OS,F,MORNING,0,1,0,0,0,0,<50%
TR6,MS,M,MORNING,0,0,0,0,0,0,<50%
TR6,MS,F,MORNING,0,0,0,0,0,0,<50%
TR1,OS,M,MID-MORNING,0,3,2,0,0,0,>50%
TR1,OS,F,MID-MORNING,0,0,0,0,0,0,>50%
TR1,MS,M,MID-MORNING,0,0,0,0,0,0,>50%
TR1,MS,F,MID-MORNING,0,0,0,0,0,0,>50%
TR2,OS,M,MID-MORNING,0,0,1,0,1,0,<25%
TR2,OS,F,MID-MORNING,0,0,0,0,0,0,<25%
TR2,MS,M,MID-MORNING,0,1,0,0,0,0,<25%
TR2,MS,F,MID-MORNING,0,0,0,0,0,0,<25%
TR3,OS,M,MID-MORNING,0,0,0,0,0,0,<25%
TR3,OS,F,MID-MORNING,0,1,0,0,0,0,<25%
TR3,MS,M,MID-MORNING,0,0,0,0,0,0,<25%
TR3,MS,F,MID-MORNING,1,0,0,0,0,0,<25%
TR4,OS,M,MID-MORNING,0,0,0,0,0,0,>50%
TR4,OS,F,MID-MORNING,1,1,0,0,0,0,>50%
TR4,MS,M,MID-MORNING,1,0,1,0,0,0,>50%
TR4,MS,F,MID-MORNING,0,1,0,0,0,0,>50%
TR5,OS,M,MID-MORNING,0,0,0,0,1,0,<25%
TR5,OS,F,MID-MORNING,0,0,0,1,0,0,<25%
TR5,MS,M,MID-MORNING,0,0,0,0,0,0,<25%
TR5,MS,F,MID-MORNING,0,0,0,0,0,0,<25%
TR6,OS,M,MID-MORNING,1,1,0,0,0,1,<50%
TR6,OS,F,MID-MORNING,0,1,0,0,0,0,<50%
TR6,MS,M,MID-MORNING,0,0,0,0,0,0,<50%
TR6,MS,F,MID-MORNING,0,0,0,0,0,0,<50%
TR1,OS,M,MIDDAY,0,0,1,0,1,0,>50%
TR1,OS,F,MIDDAY,0,1,0,0,0,0,>50%
TR1,MS,M,MIDDAY,0,0,0,0,0,0,>50%
TR1,MS,F,MIDDAY,0,0,0,0,0,0,>50%
TR2,OS,M,MIDDAY,0,1,0,0,0,0,<25%
TR2,OS,F,MIDDAY,0,0,0,0,0,0,<25%
TR2,MS,M,MIDDAY,0,0,0,0,0,0,<25%
TR2,MS,F,MIDDAY,0,0,0,0,0,0,<25%
TR3,OS,M,MIDDAY,0,0,0,0,0,0,<25%
TR3,OS,F,MIDDAY,0,0,0,0,0,0,<25%
TR3,MS,M,MIDDAY,0,0,0,0,0,0,<25%
TR3,MS,F,MIDDAY,0,0,0,0,0,0,<25%
TR4,OS,M,MIDDAY,0,0,0,0,0,0,>50%
TR4,OS,F,MIDDAY,0,0,0,0,0,0,>50%
TR4,MS,M,MIDDAY,0,0,0,0,0,0,>50%
TR4,MS,F,MIDDAY,0,0,0,0,0,0,>50%
TR5,OS,M,MIDDAY,0,0,0,0,0,0,<25%
TR5,OS,F,MIDDAY,0,0,0,0,0,0,<25%
TR5,MS,M,MIDDAY,0,0,0,0,0,0,<25%
TR5,MS,F,MIDDAY,0,0,0,0,0,0,<25%
TR6,OS,M,MIDDAY,0,0,0,0,0,0,<50%
TR6,OS,F,MIDDAY,0,0,0,0,0,0,<50%
TR6,MS,M,MIDDAY,0,0,0,0,0,0,<50%
TR6,MS,F,MIDDAY,0,0,0,0,0,0,<50%
